480 Insertion 4483: Time = 1300 ns, Operations = 59
481 Insertion 1127: Time = 1000 ns, Operations = 59
482 Insertion 7917: Time = 1100 ns, Operations = 55
483 Insertion 4411: Time = 2200 ns, Operations = 55
484 Insertion 7097: Time = 1400 ns, Operations = 55
485 Insertion 9926: Time = 1500 ns, Operations = 59
486 Insertion 786: Time = 1300 ns, Operations = 59
487 Insertion 310: Time = 1300 ns, Operations = 55
488 Insertion 3763: Time = 1100 ns, Operations = 55
489 Insertion 317: Time = 1100 ns, Operations = 55
490 Insertion 6881: Time = 1300 ns, Operations = 59
491 Insertion 6205: Time = 1000 ns, Operations = 59
492 Insertion 2058: Time = 1000 ns, Operations = 55
493 Insertion 3964: Time = 1000 ns, Operations = 55
494 Insertion 3637: Time = 900 ns, Operations = 55
495 Insertion 6859: Time = 1100 ns, Operations = 59
496 Insertion 1689: Time = 900 ns, Operations = 59
497 Insertion 1734: Time = 1000 ns, Operations = 55
498 Insertion 8285: Time = 1100 ns, Operations = 55
499 Insertion 1217: Time = 900 ns, Operations = 55
500 Insertion 9897: Time = 1000 ns, Operations = 59
501 Insertion 1100: Time = 1000 ns, Operations = 59
502 Insertion 344: Time = 800 ns, Operations = 55
503 Insertion 6406: Time = 1000 ns, Operations = 55
504 Insertion 9678: Time = 1000 ns, Operations = 55
505 Insertion 2123: Time = 900 ns, Operations = 55
506 Insertion 4623: Time = 900 ns, Operations = 55
507 Insertion 6971: Time = 1100 ns, Operations = 55
508 Insertion 7421: Time = 1000 ns, Operations = 55
509 Insertion 7068: Time = 1200 ns, Operations = 59
510 Insertion 2078: Time = 1400 ns, Operations = 59
511 Insertion 6171: Time = 1000 ns, Operations = 55
512 Insertion 7912: Time = 50000 ns, Operations = 55
513 Insertion 313: Time = 1200 ns, Operations = 55
514 Insertion 3809: Time = 1100 ns, Operations = 59
515 Insertion 369: Time = 900 ns, Operations = 59
516 Insertion 7544: Time = 900 ns, Operations = 55
517 Insertion 7248: Time = 1200 ns, Operations = 55
518 Insertion 728: Time = 1000 ns, Operations = 55
519 Insertion 6901: Time = 1300 ns, Operations = 59
520 Insertion 1078: Time = 1400 ns, Operations = 59
521 Insertion 6543: Time = 1300 ns, Operations = 55
